层级,编号,指标,公式/定义,变量说明,测量方法,测试场景,判定/预期,Kata,Kbox,来源,备注,依赖,论文处置,支撑论点,文献支撑状态,文献详情,补搜说明,指标类型,服务结论,ECS适配,ECS测量方法,ECS数据来源,ECS夜跑窗口
L0 系统基线,L0-1,节点规格,硬件配置记录,CPU核/内存/存储,`lscpu`/`free -h`/`df -h`,环境预检（E1 前）,环境预检：记录两组 CPU 核数/内存/存储；两组必须一致，不一致则后续全部对比失效（控制项）,✅,✅,[1][2],,,背景（实验设置）,内部/基线,✅充足,[1]Cluster Computing 2022 — RunC/gVisor/Kat(Springer期刊(CCF-C)) | [2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档),,控制型（实验前提）,实验前提（不服务结论）,可测,lscpu/free -h/df -h（宿主）+ adb 容器内 getprop/df,开跑前环境预检脚本,每夜首窗
L0 系统基线,L0-2,内核版本,宿主 vs 容器内内核对比,uname -r,宿主/容器内分别执行,环境预检（E1 前）,环境预检：记录宿主机内核并对比容器内内核；Kata 容器内为独立 guest 内核 ≠ 宿主，Kbox 容器内 = 共享宿主内核 —— 这是全文架构差异的事实基础（观测项）,✅,✅,[1][3],,,背景（实验设置）,内部/基线,✅充足,[1]Cluster Computing 2022 — RunC/gVisor/Kat(Springer期刊(CCF-C)) | [3]华为 Kbox 官方文档(白皮书+407页特性+验收测试)(hikunpeng.com),,观测型（事实/定性）,背景/讨论（不作主证据）,可测,宿主 uname -r vs adb shell uname -r / getprop ro.build.version.release,同上,每夜首窗
L0 系统基线,L0-3,镜像一致性,sha256(APK_A)==sha256(APK_B),APK哈希,`sha256sum mall.apk`,环境预检（E1 前）,环境预检：sha256 校验两组运行同一 APK；哈希不一致说明业务负载不同源，对比不公平（控制项）,✅,✅,[1],,,背景（实验设置）,内部/基线,✅充足,[1]Cluster Computing 2022 — RunC/gVisor/Kat(Springer期刊(CCF-C)),,控制型（实验前提）,实验前提（不服务结论）,可测,sha256sum 我们的构建产物（www 包/APK/容器镜像 digest）,构建脚本,变更后
L0 系统基线,L0-4,隔离资源池,两组资源物理分区,nodeSelector/独立池,K8s配置,环境预检（E1 前）,环境预检：确认两组资源池物理隔离；池间串扰会污染全部对比数据（控制项）,✅,✅,[2][19],,,背景（实验设置）,内部/基线,✅充足,[2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档) | [19]Multitenant Containers as a Service(arXi(Sorbonne/NYU),补:Multitenant CaaS层次化配额公式,控制型（实验前提）,实验前提（不服务结论）,改口径,ECS 无 K8s：记录 cgroup/容器资源限制（--cpus/--memory）+ 实例数,docker inspect,每夜首窗
L1 隔离性,L1-1,资源干扰率,(P_single − P_concurrent)/P_single×100%,P_single=单实例性能(基线)；P_concurrent=N实例并发时性能,并发10→50→100→200梯度；每梯度3次取均值；容器内/proc核实,并发梯度 + 干扰注入（E2）,攻击/干扰场景：干扰率越高 = 邻居实例被拖累越重（隔离性越差）；预期 Kata <5%、Kbox >20%（G1 预设，待实测）,✅,✅,[1][4][22],,,主结果（正文图表）,论点1 资源隔离,✅充足,[1]Cluster Computing 2022 — RunC/gVisor/Kat(Springer期刊(CCF-C)) | [4]IEEE 2025 — RunC/gVisor/Kata 抗 DoS 分析(IEEE会议) | [22]A Holistic Evaluation of Docker Containe(Newcastle/Melbourne(Buyya)),补:SCC2019容器干扰评估(IEEE),对标结论型（Kata vs Kbox）,A 隔离性,改口径,单实例 vs 双实例同时跑游戏任务的产出率对比，梯度 1→2→4,夜跑双实例窗口,专项窗
L1 隔离性,L1-2,不可归因负载,CPU_malicious(pidstat) − CPU_idle(dstat),CPU_malicious=恶意实例自身CPU；CPU_idle=系统空闲,pidstat+dstat同时采样；先基线后攻击重测,并发梯度 + 干扰注入（E2）,攻击/干扰场景：恶意实例实际消耗 > 自身可见占用，差额即「不可归因」的隐藏开销（共享内核的账外损耗）；预期 Kata 差额≈0、Kbox 差额>0,✅,✅,[5][22],,,附录（完整数据表）,论点1 支撑,✅充足,[5]Wasm 容器资源隔离攻击面(arXiv:2509.11242)(哈工大) | [22]A Holistic Evaluation of Docker Containe(Newcastle/Melbourne(Buyya)),补:SCC2019干扰方法论,对标结论型（Kata vs Kbox）,A 隔离性,可测,sysstat(pidstat/dstat) 宿主采样，容器内 /proc/stat 核实,专项窗口脚本,专项窗
L1 隔离性,L1-3,受害者吞吐降幅,(T_baseline − T_attacked)/T_baseline×100%,T_baseline=无干扰吞吐；T_attacked=攻击时吞吐,fio(I/O)/iperf3(网络)；同组重测,并发梯度 + 干扰注入（E2）,攻击/干扰场景：受害实例吞吐降幅越大 = 被邻居攻击拖垮越明显；预期 Kata 降幅 < Kbox,✅,✅,[5][22],,,附录（完整数据表）,论点1 支撑,✅充足,[5]Wasm 容器资源隔离攻击面(arXiv:2509.11242)(哈工大) | [22]A Holistic Evaluation of Docker Containe(Newcastle/Melbourne(Buyya)),补:SCC2019,对标结论型（Kata vs Kbox）,A 隔离性,可测,容器内 fio(I/O)/iperf3(网络) 基线 vs 干扰,专项窗口脚本,专项窗
L1 隔离性,L1-5,CPU时间片抖动,抖动 = p99/p50,p50/p99=CPU时间百分位,cgroup cpu.stat采样；报p50/p95/p99,并发梯度 + 干扰注入（E2）,攻击场景：抖动越大 = 隔离性越差（恶意负载的调度噪声穿透隔离边界，泄露到宿主/邻居业务）；预期 Kata < Kbox,✅,✅,[7][8],,,附录（完整数据表）,论点1 支撑,✅充足,[7]Hyperflux 微秒级跨VM弹性(arXiv:2608.12633)(USC) | [8]dstack-capsule Pod远程证明(arXiv:2606.03323)(OPPO+Phala),,对标结论型（Kata vs Kbox）,A 隔离性,可测,容器 cgroup cpu.stat 采样，报 p50/p95/p99,夜跑打点,每窗
L1 隔离性,L1-6,每实例内存,(Mem_N − Mem_baseline)/N,Mem_N=N实例总内存；Mem_baseline=空载基线；N=实例数,增量部署空闲Pod,空载（无攻击，增量部署空闲实例）（E2 配套）,空载态：测安全容器本身的基础资源成本（无攻击）；预期 Kata > Kbox（多出独立内核 + QEMU/CH 开销），但安卓系统本体占用占主导，差值量级待实测,✅,✅,[8][19],,,主结果（正文图表）,论点1 资源隔离,✅充足,[8]dstack-capsule Pod远程证明(arXiv:2606.03323)(OPPO+Phala) | [19]Multitenant Containers as a Service(arXi(Sorbonne/NYU),补:CaaS每租户开销量化,对标结论型（Kata vs Kbox）,A 隔离性,可测,docker stats / cgroup memory.current 增量 ÷ 实例数,专项窗口脚本,专项窗
L1 隔离性,L1-7,实例密度,节点最大可承载实例数,资源耗尽前上限,逐步加压扫描,空载密度扫描（无攻击，加压至资源耗尽）（E2 配套）,空载态：密度 = 单节点可承载最大实例数，由每实例开销决定；预期 Kata < Kbox（Kata 每实例开销更高）,✅,✅,[8][3],,,主结果（正文图表）,论点1 资源隔离,✅充足,[8]dstack-capsule Pod远程证明(arXiv:2606.03323)(OPPO+Phala) | [3]华为 Kbox 官方文档(白皮书+407页特性+验收测试)(hikunpeng.com),,对标结论型（Kata vs Kbox）,A 隔离性,改口径,本机（4C8G）逐步拉起 1→N 实例至资源耗尽，报最大 N（非集群口径）,专项窗口脚本,专项窗
L1 隔离性,L1-8,暴露面计分,暴露面计分 = 命中「暴露」项数 / 核查总项数 × 100%,核查 8 项: 内核版本一致性、cpuinfo/meminfo 宿主可见性、/dev 节点数、/proc/sys 条目数、CapEff 超最小集、Seccomp 状态、宿主进程可见数,容器内执行固定命令集逐项判定（清单见《威胁模型_逃逸面与隔离边界.md》）；每项记 暴露/未暴露,空载多实例，容器内核查（E7 同批）,分数越低 = 隔离边界越完整；预期 Kata 显著低于 Kbox（Kata 多一道 VM 边界）,✅,✅,[9][3],,,讨论（讨论/威胁模型章节）,论点1 支撑,🟡部分,[3]华为Kbox官方文档(未启用userns/建议apparmor) | [9]AI Code Sandboxes 攻击面分类,改造为清单式半定量；机理分析移入威胁模型章节,对标结论型（Kata vs Kbox）,A 隔离性（安全边界）,可测,容器内固定命令集逐项判定（暴露/未暴露）,离线清单脚本,按需
L1 隔离性,L1-9,跨实例页缓存可观测性,可观测率 R_obs = 探测到「驻留」的页数 / 探测总页数 × 100%,探测页数 = 共享文件 F 的总页数；驻留状态由 mincore() 系统调用返回（0/1）,"实例 A 读共享文件 F → 实例 B 调 mincore(F) 探测各页是否驻留（Page Cache Attacks, CCS 2019 原法）；重复 N 次取均值",双实例 + 共享文件 F（E9，新增）,R_obs 越高 = 跨实例页缓存可见性越强（隔离越弱）；预期 Kbox 高（共享宿主页缓存）、Kata 低；Kata 若用 cached I/O 可能仍有部分可见（对应论文 [10] R=1.7-2.8）,✅,✅,[10],,,讨论（讨论/威胁模型章节）,论点1 支撑(讨论),🟢充足,"[26]Page Cache Attacks(ACM CCS 2019, mincore原法) | [10]页缓存SCA跨容器/VM(arXiv:2607.17518)",由「定性引用」升级为可测指标（mincore 确定性信号，非计时）；定位讨论章节,对标结论型（Kata vs Kbox）,A 隔离性（安全边界）,可测,双实例 + 共享文件 F：B 实例 mincore(F) 探测驻留页比例,专项窗口脚本,专项窗
L2 业务任务,L2-1,任务成功率SR,N_success/N_total×100%,成功订单/总任务,后端订单记录+截图OCR双确认,业务运行 — 商城 T1-T3（E3）,业务场景（商城 T1-T3）：SR 越低 = 该运行时上安卓业务越不可用；预期 Kata ≥ Kbox（记录差值与置信区间）,✅,✅,[11][2],,,主结果（正文图表）,论点2 业务,✅充足,[11]MobileWorldSafety GUI Agent安全基准(arXiv:26(学术界) | [2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档),,对标结论型（Kata vs Kbox）,B 业务可用,可测(已有),夜跑局成功率 / 出牌动作成功率（N_success/N_total）,夜跑 CSV（现成）,每窗
L2 业务任务,L2-2,端到端耗时,T_order_confirmed − T_task_started,完成时刻−开始时刻,应用日志时间戳,业务运行 — 商城 T1-T3（E3）,业务场景：从任务开始到订单确认的总耗时，反映真实业务体验；预期 Kata 不显著劣于 Kbox,✅,✅,[12][2],,,附录（完整数据表）,论点2 支撑,✅充足,[12]Android Coach 在线Agent训练(arXiv:2604.07277(学术界) | [2]用户《鲲鹏920对比测试落地指南》(G1)(内部文档),,对标结论型（Kata vs Kbox）,B 业务可用,可测(需打点),每局时长 = 结算时间戳 − 进桌时间戳,夜跑 metrics.jsonl,每窗
L2 业务任务,L2-3,GUI每步延迟,T_response − T_action,响应时刻−点击时刻,adb时间戳逐步采集,业务运行 — 商城 GUI 链路（E3）,业务场景（GUI 链路）：单步「截图→响应」延迟，反映自动化操作流畅度；对比两组中位数 + p95,✅,✅,[13],,,附录（完整数据表）,论点2 支撑,✅充足,[13]SAIL 云游戏感知质量码率控制(arXiv:2607.11231)(清华),,对标结论型（Kata vs Kbox）,B 业务可用,可测(需打点),每步 T_response − T_action（截屏/决策/执行 分段）,夜跑 metrics.jsonl,每窗
